Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
30-10-2015 07:07,85.0S,161.7W,,,,,,1.80E+11,0.51
13-10-2015 12:23,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,2.30E+10,0.082
11-10-2015 00:07,55.4S,18.8W,,,,,,3.00E+10,0.1
10-10-2015 09:57,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,3.60E+10,0.12
04-10-2015 21:02,22.0N,171.6W,36.1,,,,,4.40E+10,0.15
17-09-2015 21:03,43.1S,94.9E,,,,,,9.80E+10,0.3
14-09-2015 23:50,5.8N,15.2W,,,,,,7.00E+10,0.22
08-09-2015 13:46,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,2.00E+10,0.073
07-09-2015 01:41,14.5N,98.9E,29.3,21,16.8,-12,-3.8,1.80E+12,3.9
02-09-2015 20:10,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,3.70E+10,0.13
04-08-2015 10:24,9.6S,125.9E,,,,,,2.90E+10,0.1
19-07-2015 07:06,20.6N,87.6W,22,17.8,9.4,13,7.8,2.30E+10,0.082
12-07-2015 22:23,31.0N,159.6E,41,,,,,2.20E+10,0.079
04-07-2015 01:40,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,5.60E+10,0.18
14-06-2015 03:03,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,7.10E+10,0.22
12-06-2015 17:03,1.3S,32.1W,43.5,,,,,1.76E+11,0.5
10-06-2015 17:43,11.5S,161.9W,61.1,,,,,3.84E+11,1
02-06-2015 08:44,6.4S,142.7W,,,,,,3.80E+11,0.99
20-05-2015 10:20,1.0N,172.6E,32.4,,,,,3.60E+10,0.12
18-05-2015 17:13,32.4N,139.1E,29,,,,,4.30E+10,0.14
10-05-2015 07:45,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,1.43E+11,0.42
07-05-2015 20:34,21.5S,29.3W,37,17.3,-16.2,-5.8,1.4,5.20E+10,0.17
30-04-2015 10:21,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,1.05E+11,0.32
21-04-2015 01:42,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,8.80E+10,0.27
10-04-2015 01:14,42.8S,8.2E,,,,,,6.50E+10,0.21
08-04-2015 04:06,25.5S,51.5E,36.3,19.2,8,-15.6,-7.9,1.73E+11,0.49
03-04-2015 01:39,8.4N,157.9W,,,,,,4.20E+10,0.14
30-03-2015 21:33,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,6.40E+10,0.2
18-03-2015 00:04,5.4S,159.3E,50,,,,,1.21E+11,0.36
11-03-2015 06:18,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16,7.20E+10,0.23
08-03-2015 04:26,39.1S,118.6W,,,,,,2.00E+10,0.073
04-03-2015 04:30,15.9S,88.1E,39.8,18,7.8,-16,-2.5,5.50E+10,0.18
26-02-2015 22:06,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,1.88E+11,0.53
25-02-2015 10:53,12.4N,122.4W,42,,,,,5.80E+10,0.19
17-02-2015 13:19,8.0S,11.2W,39,28.8,-28.2,3.4,4.6,3.30E+10,0.11
09-01-2015 17:31,23.3S,49.2W,,,,,,2.20E+10,0.079
09-01-2015 10:41,2.0N,28.8E,36,17.5,-10.7,-7.6,11.6,1.39E+11,0.41
07-01-2015 01:05,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,1.36E+11,0.4
02-01-2015 13:39,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10,2.00E+10,0.073
13-12-2014 02:53,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,4.40E+10,0.15
12-12-2014 06:48,33.5N,144.9E,26.3,12,11.5,-2.8,-2.2,3.30E+10,0.11
09-12-2014 21:19,76.6N,96.3E,26.3,,,,,7.80E+10,0.24
28-11-2014 11:47,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,7.00E+11,1.7
27-11-2014 12:12,18.8S,73.4W,38,,,,,5.50E+10,0.18
26-11-2014 23:16,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,1.18E+11,0.35
26-11-2014 17:40,68.2S,24.0W,37,19.9,-7,16.1,9.4,1.05E+11,0.32
04-11-2014 20:13,43.1N,115.8E,22.2,16,-7.2,-12.1,-7.7,1.56E+11,0.45
21-10-2014 18:55,22.2N,132.9W,,,,,,3.40E+10,0.12
17-10-2014 14:07,4.6S,66.3W,39,,,,,7.20E+10,0.23
14-10-2014 10:25,2.0S,119.2E,27.2,16.9,15,-6.9,-3.5,2.90E+10,0.1
06-10-2014 20:02,43.7S,85.7E,,,,,,3.90E+10,0.13
09-09-2014 18:55,3.2N,137.2E,32.5,,,,,2.80E+10,0.098
05-09-2014 21:37,22.7N,150.0W,,,,,,3.50E+10,0.12
29-08-2014 23:15,6.2S,49.9W,,,,,,2.60E+10,0.092
28-08-2014 03:07,3.2N,45.4W,,,,,,3.40E+10,0.12
23-08-2014 06:29,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3.82E+12,7.6
29-07-2014 07:38,49.2S,172.2W,,,,,,7.30E+10,0.23
29-07-2014 03:07,33.9S,115.9W,,,,,,5.30E+10,0.17
28-06-2014 02:40,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,2.45E+11,0.67
26-06-2014 05:54,71.5S,93.4E,28.5,11.2,7,2.9,8.3,6.10E+10,0.2
29-05-2014 01:12,21.9N,131.1W,28.7,,,,,5.80E+10,0.19
16-05-2014 20:06,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,1.36E+11,0.4
16-05-2014 12:42,44.2S,176.2W,44,16.5,14.4,4.6,6.5,3.09E+11,0.82
08-05-2014 19:42,36.9S,87.3E,35.4,19,-2,-16.1,9.9,1.05E+12,2.4
29-03-2014 13:45,28.7S,121.5E,30.7,16.3,10,-12.7,2.2,3.90E+10,0.13
18-03-2014 11:02,0.0N,111.8W,30.5,,,,,5.40E+11,1.3
03-03-2014 15:00,29.0S,94.9W,,,,,,9.40E+10,0.29
18-02-2014 12:50,32.8S,61.5W,,,,,,2.60E+10,0.092
13-02-2014 06:47,13.3N,110.7W,25,,,,,6.30E+11,1.5
15-01-2014 02:46,18.5S,141.8E,29.6,,,,,1.40E+11,0.41
12-01-2014 16:00,2.9N,64.4E,37,16.2,-5.2,-15.1,2.6,7.80E+10,0.24
08-01-2014 17:05,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,3.10E+10,0.11
23-12-2013 08:30,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,1.47E+11,0.43
08-12-2013 03:10,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,6.40E+10,0.2
21-11-2013 01:50,44.7N,35.3E,59.3,12.4,-5,-11,-2.7,7.50E+10,0.23
12-10-2013 16:06,19.1S,25.0W,22.2,12.8,-8,8.4,-5.5,1.61E+12,3.5
09-10-2013 17:27,,,,,,,,6.00E+10,0.19
24-09-2013 15:31,10.3S,164.7W,40.7,,,,,1.60E+11,0.46
12-08-2013 18:08,34.4S,118.2E,66.6,,,,,4.40E+10,0.15
31-07-2013 07:00,,,,,,,,3.90E+10,0.13
31-07-2013 03:50,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,6.90E+10,0.22
30-07-2013 02:36,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,3.90E+11,1
27-07-2013 08:30,0.3N,156.2E,26.5,22.1,16,14.9,-3.3,1.20E+11,0.36
26-07-2013 11:32,21.0N,178.5W,37,,,,,2.00E+10,0.073
18-07-2013 00:46,,,,,,,,2.20E+10,0.079
13-06-2013 02:51,,,,,,,,2.20E+10,0.079
01-06-2013 22:49,65.6S,138.4E,28.9,,,,,3.40E+10,0.12
14-05-2013 23:20,3.0S,76.4E,,,,,,2.00E+10,0.073
30-04-2013 08:40,35.5N,30.7W,21.2,12.1,1,9,-8,5.11E+12,10
21-04-2013 06:23,28.1S,64.6W,40.7,14.9,5,14,1,1.07E+12,2.5
12-03-2013 10:32,32.7S,17.1E,26,,,,,2.90E+10,0.1
20-02-2013 13:13,23.0S,38.8W,,13.6,-11,-8,-1,3.20E+10,0.1
15-02-2013 03:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440
07-02-2013 13:12,18.8S,158.6W,,,,,,6.50E+10,0.21
25-01-2013 07:40,60.3N,64.6W,,,,,,3.40E+12,6.9
12-01-2013 03:04,15.1S,155.6W,36.1,,,,,4.80E+10,0.16
30-12-2012 07:25,17.3N,83.6W,,,,,,1.98E+11,0.55
18-12-2012 11:19,,,,,,,,2.70E+10,0.095
20-11-2012 20:37,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,2.50E+10,0.089
20-11-2012 06:25,8.0S,86.0W,,,,,,1.20E+11,0.36
25-10-2012 15:57,,,,,,,,3.00E+10,0.1
19-10-2012 16:26,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,2.30E+10,0.082
09-10-2012 00:54,51.2N,84.6W,27.8,13.5,3.4,12,5.1,2.10E+11,0.58
03-10-2012 22:50,41.5S,21.9W,,17,-2.4,5.5,15.9,2.80E+11,0.75
02-10-2012 16:38,8.1S,111.9W,35,15.4,1.4,15.3,1,4.70E+11,1.2
28-09-2012 05:44,6.9S,73.7E,,,,,,3.80E+10,0.13
18-09-2012 19:34,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,2.44E+11,0.67
11-09-2012 22:07,18.9S,105.2E,,,,,,5.20E+10,0.17
10-09-2012 01:03,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,2.30E+10,0.082
27-08-2012 06:57,18.3S,64.2E,38.7,28.9,-8,-23.7,-14.5,6.80E+10,0.22
26-08-2012 14:55,11.8N,117.0E,36,12.7,5,-11.6,-0.7,2.49E+11,0.68
13-08-2012 05:31,,,,,,,,3.30E+10,0.11
27-07-2012 04:19,63.1N,172.3E,27.2,,,,,3.40E+10,0.12
25-07-2012 07:48,36.4N,41.5E,26.8,18.5,0.8,2,-18.4,1.33E+11,0.39
05-06-2012 07:44,,,,,,,,2.40E+10,0.086
25-05-2012 11:31,41.8S,36.2W,,,,,,6.00E+10,0.19
22-05-2012 08:31,,,,,,,,2.11E+11,0.59
15-05-2012 11:04,61.8S,135.5W,33.3,17.1,-0.8,1.1,17,1.32E+11,0.39
04-05-2012 21:54,76.7N,10.6W,,,,,,2.29E+11,0.63
23-04-2012 22:01,36.2N,107.4E,25.2,,,,,4.40E+10,0.15
21-04-2012 16:08,15.8S,174.8W,,,,,,1.43E+11,0.42
19-04-2012 22:12,5.5N,16.8E,,,,,,3.00E+10,0.1
02-04-2012 16:50,28.1N,95.2W,,,,,,3.20E+10,0.11
12-03-2012 06:40,2.5N,139.8E,25,11.8,0.1,-11.8,0.3,9.90E+10,0.3
03-03-2012 21:28,7.8N,2.7E,20.4,,,,,1.01E+11,0.31
01-03-2012 03:12,46.9N,29.8W,,,,,,2.20E+10,0.079
24-02-2012 19:11,22.7S,30.8E,,,,,,3.70E+10,0.13
17-02-2012 10:47,3.2S,39.9W,45.6,,,,,1.54E+11,0.44
16-02-2012 04:50,9.8N,151.8E,,,,,,9.80E+10,0.3
12-02-2012 05:25,31.7S,54.9E,61,,,,,1.40E+11,0.41
04-02-2012 14:42,32.4N,0.1E,34.2,12.2,-3.9,10.9,4,1.50E+11,0.43
15-01-2012 12:26,64.1S,109.9E,26.3,12.3,-1.9,5.1,11,2.10E+10,0.076
11-01-2012 02:23,32.2N,88.5E,,,,,,8.50E+10,0.26
19-12-2011 11:35,30.2S,52.6E,36.1,,,,,1.35E+11,0.4
14-12-2011 05:01,62.9S,89.6E,32.4,,,,,5.00E+10,0.16
11-12-2011 17:29,,,,,,,,2.90E+10,0.1
20-11-2011 05:25,27.9S,116.3E,,,,,,2.30E+10,0.082
12-10-2011 07:13,26.4S,78.4W,,,,,,3.60E+10,0.12
13-09-2011 23:36,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,6.70E+10,0.21
31-08-2011 09:44,18.6N,5.1W,,,,,,2.70E+10,0.095
20-08-2011 20:01,27.2S,2.8W,,,,,,2.30E+10,0.082
18-08-2011 14:55,,,,,,,,2.30E+10,0.082
11-08-2011 02:56,,,,,,,,3.50E+10,0.12
04-08-2011 07:25,40.7S,86.7W,63,,,,,2.80E+10,0.098
27-07-2011 23:00,45.3S,63.5E,29.6,,,,,4.40E+10,0.15
07-07-2011 23:25,,,,,,,,3.30E+10,0.11
05-07-2011 15:42,29.1N,139.7E,40.7,,,,,6.50E+10,0.21
04-07-2011 09:18,51.7S,175.0E,,,,,,2.90E+10,0.1
16-06-2011 11:51,67.3N,21.4W,40.5,,,,,2.40E+10,0.086
25-05-2011 05:40,4.1N,14.0E,59,11.6,-3.4,-10.8,2.4,2.28E+12,4.8
16-05-2011 13:39,1.2S,92.8E,,,,,,2.00E+10,0.073
27-04-2011 20:38,1.4N,126.6W,28.7,,,,,2.20E+11,0.61
27-04-2011 11:21,,,,,,,,2.40E+10,0.086
17-04-2011 11:21,,,,,,,,2.40E+10,0.086
11-04-2011 21:43,,,,,,,,3.80E+10,0.13
06-04-2011 08:30,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,1.48E+11,0.43
24-03-2011 20:23,0.6N,127.5W,59,,,,,5.80E+10,0.19
23-03-2011 04:24,,,,,,,,3.10E+10,0.11
23-03-2011 04:16,16.8S,85.6W,,,,,,2.20E+10,0.079
01-03-2011 10:37,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,3.70E+10,0.13
21-02-2011 05:07,26.3N,43.7E,44.4,18,10.3,-14.8,0.1,3.90E+10,0.13
12-02-2011 11:00,7.8N,95.3W,,,,,,2.00E+10,0.073
21-01-2011 15:11,18.9N,44.6W,61,,,,,7.20E+10,0.23
08-01-2011 19:38,33.3N,125.8W,48,,,,,2.90E+10,0.1
25-12-2010 23:24,38.0N,158.0E,26,18.1,18,-2,-4,2.00E+13,33
14-12-2010 00:27,4.9S,175.5E,24,,,,,3.90E+10,0.13
09-12-2010 02:54,54.5S,169.7W,66,,,,,6.30E+10,0.2
01-12-2010 06:31,72.5S,144.9E,33.3,,,,,1.33E+11,0.39
21-11-2010 14:45,1.9N,143.3E,50,,,,,8.10E+10,0.25
19-11-2010 07:25,10.3S,148.8E,30,,,,,3.30E+10,0.11
10-11-2010 08:26,74.5N,77.7W,,,,,,6.80E+10,0.22
09-11-2010 13:05,56.3S,16.7W,37,,,,,8.60E+10,0.27
09-11-2010 06:56,14.0S,160.0W,26,,,,,2.00E+10,0.073
27-10-2010 11:27,14.1S,67.7E,35.2,,,,,1.45E+11,0.42
08-10-2010 09:58,,,,,,,,2.00E+10,0.073
24-09-2010 12:02,67.4S,50.6W,,,,,,5.00E+10,0.16
18-09-2010 05:04,7.4N,36.7E,,,,,,6.70E+10,0.21
08-09-2010 19:51,13.9S,65.5W,46.3,,,,,6.50E+10,0.21
05-09-2010 23:37,25.9S,49.0E,35.2,,,,,6.83E+11,1.7
03-09-2010 12:04,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,1.75E+12,3.8
17-08-2010 04:19,20.7N,114.3W,33.3,,,,,2.10E+10,0.076
12-08-2010 02:59,,,,,,,,2.80E+10,0.098
05-08-2010 19:31,21.5S,46.6E,,,,,,3.60E+10,0.12
15-07-2010 01:49,60.9N,178.1W,,,,,,2.40E+10,0.086
06-07-2010 23:54,34.1S,174.5W,26,15.7,12.1,10,0.2,7.56E+12,14
26-06-2010 06:04,0.5S,133.2E,50,,,,,1.13E+11,0.34
21-06-2010 06:42,22.5S,120.9W,,,,,,1.63E+11,0.47
17-06-2010 04:24,26.1S,100.0E,42,,,,,1.19E+11,0.35
17-04-2010 02:21,13.1N,173.0W,,,,,,5.60E+10,0.18
16-04-2010 04:38,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,8.44E+11,2
06-04-2010 18:33,52.8N,146.5W,,,,,,8.00E+10,0.25
18-03-2010 16:11,32.4S,51.8W,,,,,,1.75E+11,0.5
15-03-2010 15:55,,,,,,,,8.00E+10,0.25
14-03-2010 18:44,33.8N,90.2W,35.6,,,,,4.20E+10,0.14
08-03-2010 22:44,18.2N,110.1E,53,,,,,3.00E+10,0.1
08-03-2010 22:02,32.0N,92.9W,52,24.5,19.1,11,10.7,3.23E+11,0.85
28-02-2010 22:24,48.7N,21.0E,37,15.1,-11.7,2.7,-9.1,1.53E+11,0.44
26-02-2010 22:46,37.3S,166.0W,,,,,,2.37E+11,0.65
24-02-2010 19:55,2.6S,102.2W,,,,,,9.30E+10,0.28
15-01-2010 19:17,8.3S,27.0E,25,14,-9.1,6,8.8,4.92E+11,1.2
31-12-2009 16:24,,,,,,,,8.30E+10,0.26
31-12-2009 12:50,37.9N,178.3W,20.7,,,,,1.02E+11,0.31
25-11-2009 01:36,52.8S,136.5E,,,,,,6.40E+10,0.2
21-11-2009 20:53,22.0S,29.2E,38,32.1,3,-17,27,1.00E+13,18
18-11-2009 17:36,,,,,,,,8.50E+10,0.26
18-11-2009 07:07,40.4N,113.2W,31.5,,,,,7.36E+11,1.8
14-11-2009 19:58,,,,,,,,2.30E+10,0.082
07-11-2009 11:31,45.5N,157.7W,,,,,,2.20E+10,0.079
07-11-2009 10:41,24.0N,64.1E,37,,,,,4.20E+10,0.14
11-10-2009 12:49,78.3S,70.2E,27.8,,,,,7.10E+10,0.22
08-10-2009 02:57,4.2S,120.6E,19.1,19.2,14,-16,-6,2.00E+13,33
27-09-2009 22:22,36.0S,67.6W,37,,,,,8.90E+10,0.27
18-09-2009 20:13,7.7N,29.5W,,,,,,1.44E+11,0.42
04-09-2009 02:23,42.5N,110.0E,28.3,24,19.2,-11.6,-8.5,9.65E+11,2.3
23-08-2009 21:17,67.7S,18.3E,34,12.2,-6.9,5.3,8.5,2.80E+11,0.75
31-07-2009 02:13,8.9N,121.9W,,,,,,2.50E+10,0.089
16-07-2009 06:39,24.4S,59.8W,32.2,,,,,7.27E+11,1.8
03-07-2009 04:02,,,,,,,,2.70E+10,0.095
27-06-2009 13:08,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,3.20E+10,0.11
20-06-2009 11:04,,,,,,,,2.70E+10,0.095
18-06-2009 04:39,23.7S,16.0W,57.4,,,,,3.30E+10,0.11
09-06-2009 22:42,54.9N,152.7W,34.2,,,,,2.81E+11,0.76
31-05-2009 06:05,19.7N,121.0W,,,,,,1.43E+11,0.42
13-05-2009 20:20,,,,,,,,7.30E+10,0.23
04-05-2009 11:39,36.4N,160.4W,40.7,,,,,1.40E+11,0.41
20-04-2009 04:01,6.0N,84.3E,,,,,,2.20E+10,0.079
10-04-2009 18:42,44.7S,25.7E,32.4,19.1,-18.9,2.6,0.3,2.70E+11,0.73
15-03-2009 05:44,21.7S,98.6W,,,,,,3.20E+10,0.11
04-03-2009 00:38,,,,,,,,1.70E+11,0.48
01-03-2009 09:00,,,,,,,,2.00E+10,0.073
20-02-2009 12:15,64.9S,70.0W,,,,,,5.00E+10,0.16
07-02-2009 19:51,56.6N,69.8E,40,15.4,-2.4,-1.9,-15.1,1.60E+12,3.5
12-01-2009 22:24,47.8N,44.3W,,,,,,4.80E+10,0.16
10-01-2009 07:42,64.0S,122.8E,26.5,,,,,2.30E+10,0.082
24-12-2008 15:51,68.9S,102.0W,21.1,24.1,-13.4,18,8.8,3.50E+10,0.12
12-12-2008 11:36,7.0S,9.7W,50,,,,,2.16E+11,0.6
09-12-2008 06:08,,,,,,,,3.40E+10,0.12
24-11-2008 22:01,57.9S,146.1E,34.8,23.7,21.5,10,0.4,1.46E+11,0.42
21-11-2008 00:26,53.1N,109.9W,28.2,12.9,3.9,-4.1,-11.6,1.42E+11,0.41
18-11-2008 09:41,29.4S,75.9E,35.2,22.4,-4,-15.2,-16,2.50E+10,0.089
09-11-2008 02:38,14.5N,112.7E,29.6,,,,,2.22E+11,0.61
21-10-2008 02:20,32.8N,165.6W,29.6,11.3,9.6,5.8,1.5,4.60E+10,0.15
10-10-2008 09:34,57.3S,17.0E,21.4,,,,,1.80E+11,0.51
07-10-2008 02:45,20.9N,31.4E,38.9,13.3,-9,9,3.8,3.95E+11,1
09-09-2008 09:49,,,,,,,,5.90E+10,0.19
16-08-2008 14:40,11.3N,97.2E,,,,,,1.31E+11,0.38
12-08-2008 11:44,11.6S,175.0W,,,,,,2.00E+10,0.073
07-08-2008 06:07,18.5N,180.0E,45.4,13.8,6.5,-12.1,1.7,4.10E+10,0.14
23-07-2008 14:45,38.6N,68.0E,31.5,14.5,-7.7,-8.2,-9.1,1.21E+11,0.36
22-07-2008 19:34,17.8S,89.2W,54.4,,,,,6.10E+10,0.2
11-07-2008 14:35,,,,,,,,5.20E+10,0.17
08-07-2008 15:55,72.8N,147.3E,52.2,21.7,-12.9,1.9,-17.4,6.60E+10,0.21
01-07-2008 17:40,37.1N,115.7W,36.1,9.8,2.8,1.7,-9.2,3.60E+10,0.12
27-06-2008 02:01,26.9S,17.7W,33.7,23.1,-17.9,13,6.6,1.72E+11,0.49
18-06-2008 13:45,6.1N,103.1E,,,,,,2.10E+10,0.076
29-05-2008 21:23,15.7N,83.5W,,,,,,2.10E+10,0.076
24-05-2008 10:18,0.8N,162.0E,37,14.2,7.9,3.1,11.4,1.50E+11,0.43
22-05-2008 20:50,46.9N,134.5E,,,,,,2.10E+10,0.076
15-05-2008 11:29,28.0N,41.5W,,,,,,8.00E+10,0.25
06-05-2008 01:08,,,,,,,,5.70E+10,0.18
30-04-2008 01:18,33.6S,35.1W,,,,,,2.00E+10,0.073
07-04-2008 01:22,31.8S,58.5W,,,,,,2.10E+10,0.076
06-04-2008 16:03,,,,,,,,7.70E+10,0.24
15-03-2008 11:29,28.0N,41.5W,26.7,12.9,-4.1,4.8,-11.2,5.00E+10,0.16
24-02-2008 19:33,,,,,,,,7.40E+10,0.23
19-02-2008 13:30,48.9N,119.8W,,,,,,2.00E+10,0.073
18-02-2008 08:51,,,,,,,,5.00E+10,0.16
17-02-2008 12:19,74.9N,73.4W,40.4,13.9,-5.8,-10.7,-6.7,1.10E+11,0.33
16-02-2008 08:38,,,,,,,,7.10E+10,0.22
18-01-2008 01:17,,,,,,,,4.40E+10,0.15
09-01-2008 03:53,66.8S,67.3W,31.5,11.6,4.3,5.7,9.1,4.10E+10,0.14
26-12-2007 06:46,61.6S,158.9W,,,,,,1.36E+11,0.4
20-12-2007 17:00,51.3N,115.4E,,,,,,1.22E+11,0.36
25-10-2007 19:35,40.9S,91.3E,46.3,,,,,5.80E+10,0.19
12-10-2007 09:14,88.5N,116.6E,37,18.4,-4.5,-14.1,-10.9,3.30E+10,0.11
07-10-2007 13:31,35.2S,125.6E,,,,,,5.80E+10,0.19
22-09-2007 17:57,49.2S,85.5W,30.2,16.9,-9.2,13.6,3.8,2.37E+11,0.65
11-06-2007 09:47,23.4S,170.9W,35.2,17,16.7,-2.1,-2.2,4.90E+10,0.16
08-06-2007 13:32,52.0S,175.3E,38.9,,,,,2.35E+11,0.65
07-06-2007 21:28,21.9N,53.1E,29.6,,,,,3.10E+10,0.11
16-05-2007 16:20,4.5S,111.7E,,,,,,3.80E+10,0.13
16-05-2007 04:45,42.4S,164.0E,31.5,,,,,4.00E+11,1
04-05-2007 17:52,22.9N,109.4E,48,,,,,1.75E+11,0.5
18-04-2007 12:44,83.7S,171.2W,38,24.4,-5.3,-2.5,23.7,1.12E+11,0.33
16-04-2007 14:56,,,,,,,,2.40E+10,0.086
17-03-2007 06:48,7.1N,4.1E,32.5,14.5,-7.3,-1.9,-12.4,4.00E+10,0.13
15-03-2007 02:20,44.1S,148.4W,,,,,,2.50E+10,0.089
07-03-2007 15:16,,,,,,,,2.70E+10,0.095
02-02-2007 12:48,24.0N,37.2W,35.5,,,,,3.40E+11,0.89
26-01-2007 22:22,3.7N,99.7E,,,,,,1.47E+11,0.43
22-01-2007 07:24,45.4N,53.5E,32,13.4,-3.3,-12.8,-1.9,7.60E+10,0.24
18-01-2007 13:51,5.3N,164.3W,34.1,,,,,3.20E+10,0.11
17-01-2007 09:50,8.7S,50.8E,33.3,,,,,5.48E+11,1.4
01-01-2007 11:43,44.4N,116.5E,53,,,,,3.60E+10,0.12
09-12-2006 06:31,26.2N,26.0E,26.5,15.9,4.9,-15,1.6,7.41E+12,14
07-12-2006 11:42,14.0N,140.0W,,,,,,2.10E+10,0.076
01-12-2006 06:09,13.0S,30.7E,,,,,,6.30E+10,0.2
13-11-2006 15:16,44.0S,43.3E,,,,,,2.30E+10,0.082
24-10-2006 08:42,1.9S,2.7W,43,,,,,2.25E+11,0.62
14-10-2006 18:10,49.4N,175.0W,44.4,23.9,4.9,23.4,-1,2.58E+11,0.7
09-10-2006 04:45,47.0S,78.9E,22.2,,,,,4.10E+10,0.14
07-10-2006 12:18,23.0S,61.8W,40.7,,,,,4.10E+10,0.14
02-10-2006 19:10,14.0N,53.1E,42,,,,,9.00E+10,0.28
27-09-2006 08:33,32.0S,60.2E,48.1,,,,,1.07E+11,0.32
23-09-2006 18:52,29.0S,108.0W,,,,,,1.21E+11,0.36
02-09-2006 17:57,,,,,,,,2.20E+10,0.079
02-09-2006 04:26,14.0S,109.1E,44.1,14.2,10,-9.9,1.5,1.23E+12,2.8
29-08-2006 01:38,44.0S,162.0W,40.7,,,,,9.20E+10,0.28
18-08-2006 00:03,43.0S,33.4E,47.2,,,,,3.20E+10,0.11
17-08-2006 10:43,11.0S,165.7E,48.2,,,,,2.56E+11,0.7
