Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
15-08-2006 10:52,4.9N,49.6E,32.7,,,,,4.70E+10,0.16
09-08-2006 04:30,23.1S,53.7E,37,,,,,1.02E+12,2.4
15-07-2006 23:55,78.3S,5.0W,29.6,12.4,0.1,2,12.2,8.50E+10,0.26
15-07-2006 15:22,31.1N,45.6E,38.9,30.2,9.2,-1.2,-28.7,1.63E+11,0.47
07-06-2006 00:06,69.2N,22.5E,40.7,19.6,6.1,4.6,-18,5.90E+10,0.19
28-05-2006 01:32,,,,,,,,2.60E+10,0.092
21-05-2006 07:51,11.6S,25.5W,,,,,,2.63E+11,0.71
07-05-2006 17:45,,,,,,,,3.00E+10,0.1
06-05-2006 15:39,60.2S,152.3W,35.2,,,,,1.28E+11,0.38
25-04-2006 18:46,,,,,,,,2.00E+10,0.073
08-04-2006 13:16,17.3N,113.2W,33.3,,,,,1.27E+11,0.37
04-04-2006 11:30,26.6N,26.6W,25,,,,,2.40E+12,5
14-03-2006 03:21,7.0N,64.6W,35.2,,,,,1.44E+11,0.42
26-02-2006 07:30,,,,,,,,7.00E+10,0.22
06-02-2006 01:57,54.5S,18.1E,35.2,,,,,1.19E+12,2.7
04-02-2006 08:38,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,1.00E+11,0.3
28-01-2006 03:33,51.7S,56.4E,37,18.7,8.4,-16.4,3.2,7.40E+11,1.8
27-01-2006 01:27,58.7N,74.7E,20,,,,,4.50E+10,0.15
26-01-2006 00:00,79.8S,111.0W,37,,,,,5.30E+10,0.17
10-01-2006 23:25,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,2.80E+10,0.098
08-01-2006 05:20,7.6N,28.2W,,,,,,9.40E+10,0.29
29-12-2005 10:05,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,1.90E+11,0.53
24-12-2005 15:30,54.0S,17.3E,66,,,,,1.81E+11,0.51
03-12-2005 12:45,33.8S,117.4E,32.2,17,-12.1,-9.6,7.2,8.80E+10,0.27
01-12-2005 10:40,6.4S,155.8W,,,,,,3.20E+10,0.11
29-11-2005 07:33,7.6N,58.2W,59.3,,,,,3.20E+10,0.11
15-11-2005 05:19,26.3N,113.4W,32.4,,,,,2.50E+10,0.089
11-11-2005 20:34,21.4N,134.1W,29.6,,,,,4.20E+10,0.14
09-11-2005 07:33,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,7.30E+10,0.23
02-11-2005 07:04,33.9N,154.9W,68.5,,,,,3.20E+10,0.11
02-11-2005 05:16,22.9N,123.8W,74,,,,,6.70E+10,0.21
26-10-2005 21:30,36.3S,80.5W,16.7,,,,,1.38E+11,0.4
30-09-2005 19:04,2.8S,84.1W,53,,,,,2.20E+10,0.079
14-09-2005 01:08,11.6N,27.3E,33.3,,,,,2.50E+10,0.089
02-09-2005 07:59,13.5N,73.1E,,,,,,8.20E+10,0.25
20-08-2005 12:10,,,,,,,,2.70E+10,0.095
09-08-2005 14:35,21.5S,56.2E,37,16.9,-16.3,4.3,1.4,2.50E+10,0.089
01-07-2005 22:36,49.8S,33.1E,50,,,,,3.10E+10,0.11
18-06-2005 19:40,47.9N,85.6E,,,,,,2.30E+10,0.082
05-06-2005 01:56,34.8N,90.9E,,,,,,4.10E+10,0.14
03-06-2005 08:15,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,8.20E+10,0.25
27-05-2005 14:12,48.9S,145.1E,50.5,,,,,2.00E+10,0.073
14-05-2005 13:02,,,,,,,,1.29E+11,0.38
07-05-2005 09:31,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,2.60E+10,0.092
02-05-2005 20:10,17.7N,36.0E,,,,,,4.60E+10,0.15
22-04-2005 11:18,20.9N,36.7W,37,,,,,2.20E+10,0.079
19-04-2005 07:37,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,2.32E+11,0.64
16-04-2005 10:40,,,,,,,,2.00E+10,0.073
15-04-2005 06:54,43.8S,73.9W,39,,,,,2.10E+10,0.076
14-04-2005 14:05,4.9N,176.0W,26.5,,,,,7.10E+10,0.22
11-04-2005 05:20,34.2S,95.7W,37,,,,,1.06E+11,0.32
06-04-2005 01:30,42.7S,154.6E,70,,,,,2.90E+10,0.1
05-04-2005 17:48,,,,,,,,3.50E+10,0.12
03-04-2005 01:45,1.0S,112.4E,59.2,,,,,2.19E+11,0.61
02-04-2005 22:52,14.1N,169.7E,27.2,,,,,2.04E+11,0.57
31-03-2005 22:15,42.8N,36.2W,,,,,,3.80E+10,0.13
18-03-2005 16:48,9.7S,34.7W,33,,,,,2.70E+10,0.095
12-03-2005 22:16,,,,,,,,2.20E+10,0.079
09-03-2005 15:47,21.4S,157.9W,44.4,,,,,5.30E+10,0.17
09-03-2005 12:49,14.3N,142.7E,30.7,,,,,4.00E+10,0.13
06-03-2005 17:32,,,,,,,,5.50E+10,0.18
22-02-2005 22:51,,,,,,,,4.10E+10,0.14
17-02-2005 22:52,48.0N,161.5W,42.5,,,,,1.00E+11,0.3
19-01-2005 01:43,27.5S,164.9W,40.7,,,,,1.41E+11,0.41
02-01-2005 23:09,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,1.19E+11,0.35
01-01-2005 03:44,32.7N,12.4E,31.8,,,,,4.54E+11,1.2
29-12-2004 07:11,8.5S,171.8E,,,,,,9.00E+10,0.28
13-12-2004 11:35,9.7S,155.3E,,,,,,3.90E+10,0.13
11-12-2004 15:36,36.0N,104.1E,,,,,,3.00E+10,0.1
30-11-2004 08:32,61.0N,171.0W,,,,,,1.81E+11,0.51
17-11-2004 03:13,,,,,,,,1.86E+11,0.52
14-10-2004 11:41,,,,,,,,9.30E+10,0.28
10-10-2004 11:05,,,,,,,,3.00E+10,0.1
07-10-2004 13:14,27.3S,71.5E,35,19.2,-15.3,1,11.6,1.04E+13,18
04-10-2004 04:39,3.7N,150.9W,,,,,,7.10E+10,0.22
28-09-2004 08:57,0.2N,101.1W,,,,,,6.20E+10,0.2
03-09-2004 12:07,67.7S,18.2E,31.5,,,,,7.26E+12,13
22-08-2004 10:01,51.9S,22.7E,37,,,,,1.44E+12,3.2
29-07-2004 12:41,,,,,,,,2.50E+10,0.089
25-07-2004 05:29,,,,,,,,1.97E+11,0.55
22-07-2004 03:34,,,,,,,,3.50E+10,0.12
16-07-2004 00:11,,,,,,,,2.90E+10,0.1
04-07-2004 16:58,,,,,,,,7.90E+10,0.25
03-07-2004 20:47,,,,,,,,6.50E+10,0.21
12-06-2004 07:13,21.7N,175.3E,,,,,,1.04E+11,0.31
11-06-2004 15:41,,,,,,,,1.04E+11,0.31
05-06-2004 20:34,1.3N,174.4W,43,19.5,9.4,17,-1.5,1.81E+12,3.9
04-06-2004 13:41,,,,,,,,3.39E+11,0.89
03-06-2004 21:59,,,,,,,,4.70E+10,0.16
03-06-2004 09:40,48.9N,120.4W,,,,,,5.40E+10,0.18
18-05-2004 11:12,28.1S,47.4W,,,,,,3.94E+11,1
17-05-2004 02:08,18.9S,28.3E,44,,,,,5.50E+10,0.18
06-05-2004 02:22,,,,,,,,4.90E+10,0.16
23-04-2004 00:33,,,,,,,,5.60E+10,0.18
22-04-2004 21:19,15.2S,55.1E,,,,,,1.39E+11,0.41
22-04-2004 04:21,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,6.24E+11,1.5
06-04-2004 03:24,12.0S,162.8E,35,25.6,10.5,-23.2,-2.9,4.33E+11,1.1
26-03-2004 16:35,7.6S,155.1E,46,,,,,2.40E+10,0.086
25-03-2004 09:39,4.8S,21.0E,,,,,,2.10E+10,0.076
27-02-2004 01:18,,,,,,,,6.00E+10,0.19
02-02-2004 18:52,18.3S,52.3E,,,,,,3.00E+10,0.1
22-01-2004 01:06,50.6S,157.8E,37,,,,,2.32E+11,0.64
17-01-2004 20:11,,,,,,,,2.80E+10,0.098
16-01-2004 11:17,,,,,,,,9.80E+10,0.3
02-01-2004 04:27,28.2S,3.2E,63,,,,,1.34E+11,0.39
09-12-2003 22:36,67.1S,90.8W,,,,,,6.43E+11,1.6
26-11-2003 02:00,22.9S,22.7E,32,,,,,3.50E+10,0.12
10-11-2003 13:54,64.5S,136.2E,23,20.1,14.8,-8.7,10.4,5.18E+11,1.3
01-11-2003 14:09,51.4S,151.7E,,,,,,7.30E+10,0.23
16-10-2003 00:47,,,,,,,,2.85E+11,0.77
13-10-2003 14:06,,,,,,,,3.00E+10,0.1
07-10-2003 00:23,,,,,,,,3.70E+10,0.13
27-09-2003 12:59,21.0N,86.6E,26,18.2,-1,-5.4,-17.3,2.15E+12,4.6
22-09-2003 03:45,,,,,,,,3.30E+10,0.11
21-09-2003 07:40,,,,,,,,2.00E+10,0.073
20-09-2003 19:04,,,,,,,,3.00E+10,0.1
02-09-2003 20:00,51.3N,161.0W,,,,,,3.85E+11,1
26-08-2003 22:08,,,,,,,,7.20E+10,0.23
26-08-2003 08:44,,,,,,,,2.49E+11,0.68
17-08-2003 13:16,39.0S,34.0E,,,,,,6.47E+11,1.6
01-08-2003 04:09,,,,,,,,2.10E+10,0.076
21-07-2003 05:11,,,,,,,,5.80E+10,0.19
22-06-2003 22:53,,,,,,,,2.10E+10,0.076
21-06-2003 14:49,,,,,,,,3.80E+10,0.13
16-06-2003 17:17,,,,,,,,6.50E+10,0.21
10-06-2003 14:11,41.8S,122.9E,,,,,,3.20E+10,0.11
27-05-2003 23:32,5.2N,166.2E,,,,,,6.80E+10,0.22
19-05-2003 03:38,,,,,,,,5.21E+11,1.3
18-05-2003 07:51,,,,,,,,2.10E+10,0.076
15-05-2003 06:28,54.0N,80.4W,,,,,,4.30E+10,0.14
28-04-2003 13:06,,,,,,,,2.30E+10,0.082
13-04-2003 17:58,14.8N,64.5E,17,,,,,1.75E+11,0.5
07-04-2003 09:25,18.4S,162.6E,,,,,,2.20E+10,0.079
01-04-2003 04:40,,,,,,,,3.10E+10,0.11
27-03-2003 05:50,41.4N,87.7W,45,,,,,1.42E+11,0.41
25-02-2003 23:13,40.0N,116.0E,,,,,,3.30E+10,0.11
12-02-2003 23:45,,,,,,,,7.90E+10,0.25
12-02-2003 02:37,31.5S,107.5E,,,,,,1.20E+11,0.36
06-02-2003 17:00,62.9S,113.9W,,,,,,1.97E+11,0.55
05-02-2003 06:16,,,,,,,,1.03E+11,0.31
04-02-2003 14:07,59.9S,41.0E,,,,,,1.35E+11,0.4
30-01-2003 06:02,,,,,,,,1.07E+11,0.32
28-11-2002 15:41,,,,,,,,4.60E+10,0.15
21-11-2002 00:11,1.4S,154.0W,,,,,,2.40E+11,0.66
12-11-2002 21:49,21.1S,6.8W,,,,,,4.30E+10,0.14
10-11-2002 22:13,16.0N,166.0W,,,,,,4.60E+11,1.2
09-10-2002 12:00,4.3S,175.9W,,,,,,4.90E+10,0.16
04-10-2002 10:08,,,,,,,,1.17E+11,0.35
24-09-2002 16:48,57.9N,112.9E,,,,,,8.60E+11,2
14-08-2002 07:48,6.9S,126.2W,,,,,,9.00E+10,0.28
11-08-2002 20:42,18.2S,159.4E,,,,,,1.51E+12,3.3
10-08-2002 18:01,,,,,,,,2.50E+10,0.089
25-07-2002 15:57,28.7S,47.0E,,,,,,2.30E+11,0.63
22-07-2002 11:16,34.0N,106.1E,,,,,,5.30E+10,0.17
29-06-2002 16:31,,,,,,,,1.59E+11,0.46
15-06-2002 11:51,,,,,,,,2.90E+10,0.1
13-06-2002 15:29,24.9S,111.4E,,,,,,1.91E+11,0.54
02-06-2002 04:28,34.0N,21.0E,,,,,,4.50E+12,8.8
03-04-2002 19:10,5.3S,27.1E,,,,,,1.82E+11,0.51
02-04-2002 02:36,,,,,,,,3.20E+10,0.11
28-03-2002 21:29,,,,,,,,2.70E+10,0.095
19-03-2002 05:56,,,,,,,,8.30E+10,0.26
19-03-2002 02:56,,,,,,,,5.30E+10,0.17
18-03-2002 14:44,60.4S,120.5W,,,,,,2.00E+10,0.073
09-03-2002 01:20,6.9N,147.3W,,,,,,2.49E+11,0.68
03-03-2002 21:10,37.5N,154.0E,,,,,,8.20E+10,0.25
01-03-2002 03:53,29.2N,66.8W,,,,,,3.80E+10,0.13
09-02-2002 19:50,17.7S,138.7E,,,,,,7.00E+10,0.22
01-02-2002 19:07,60.7N,116.6E,,,,,,7.00E+10,0.22
20-01-2002 16:42,48.4N,165.0W,,,,,,1.04E+11,0.31
03-01-2002 12:19,,,,,,,,1.23E+11,0.36
14-12-2001 17:58,,,,,,,,1.51E+11,0.44
12-12-2001 16:56,,,,,,,,9.80E+10,0.3
26-11-2001 06:51,,,,,,,,1.92E+11,0.54
13-11-2001 10:58,,,,,,,,3.12E+11,0.83
11-11-2001 12:14,,,,,,,,1.30E+11,0.38
27-10-2001 19:20,52.7N,3.8E,,,,,,3.60E+10,0.12
14-10-2001 12:03,,,,,,,,8.90E+10,0.27
12-10-2001 03:11,,,,,,,,6.20E+10,0.2
06-10-2001 06:29,,,,,,,,1.58E+11,0.45
25-09-2001 11:54,,,,,,,,4.20E+10,0.14
26-08-2001 16:08,,,,,,,,3.80E+10,0.13
18-08-2001 13:57,,,,,,,,4.00E+10,0.13
26-07-2001 21:20,0.4N,84.8E,,,,,,3.26E+11,0.86
23-07-2001 22:19,41.0N,77.0W,,,,,,1.24E+12,2.8
06-05-2001 04:30,,,,,,,,5.00E+10,0.16
27-04-2001 09:46,,,,,,,,1.30E+11,0.38
23-04-2001 06:12,28.0N,133.6W,29,,,,,4.60E+12,9
14-04-2001 06:40,,,,,,,,2.40E+10,0.086
13-04-2001 00:29,15.3S,162.4E,,,,,,2.51E+11,0.68
09-02-2001 21:27,,,,,,,,1.08E+11,0.32
04-02-2001 05:53,64.0S,97.3E,,,,,,1.51E+11,0.44
28-01-2001 16:19,66.0N,31.3E,,,,,,1.08E+11,0.32
15-12-2000 13:22,41.3N,95.2E,,,,,,2.62E+11,0.71
15-12-2000 03:46,50.4N,58.9E,,,,,,2.70E+10,0.095
28-11-2000 12:20,,,,,,,,1.19E+11,0.35
13-11-2000 00:28,13.6S,5.8W,,,,,,6.60E+10,0.21
06-11-2000 07:18,52.0S,22.2W,,,,,,6.90E+10,0.22
11-10-2000 23:29,31.7S,5.5W,,,,,,8.10E+10,0.25
24-09-2000 06:57,,,,,,,,2.70E+10,0.095
23-09-2000 04:00,58.5S,142.6E,,,,,,2.20E+10,0.079
19-09-2000 22:12,3.2S,133.8W,,,,,,8.90E+10,0.27
25-08-2000 01:12,14.5N,106.1W,,,,,,1.39E+12,3.1
13-08-2000 03:00,36.7N,127.8W,,,,,,6.50E+10,0.21
01-08-2000 16:48,50.2S,101.9W,,,,,,1.82E+11,0.51
31-07-2000 07:06,15.7N,138.5W,,,,,,3.80E+10,0.13
19-07-2000 17:40,17.7S,94.1E,,,,,,1.07E+11,0.32
15-07-2000 16:13,46.6S,163.3E,,,,,,2.10E+10,0.076
09-07-2000 01:08,,,,,,,,1.21E+11,0.36
07-07-2000 01:34,15.0N,140.7E,,,,,,6.50E+10,0.21
27-06-2000 10:06,34.9N,36.8E,,,,,,2.70E+10,0.095
23-06-2000 09:03,69.2N,44.0W,,,,,,2.00E+10,0.073
22-06-2000 20:02,32.9N,159.0E,,,,,,3.00E+10,0.1
18-06-2000 13:40,,,,,,,,1.33E+11,0.39
14-06-2000 16:39,28.1N,107.3E,48,,,,,1.45E+11,0.42
04-06-2000 03:17,,,,,,,,1.90E+11,0.53
03-06-2000 03:24,36.8N,74.8W,,,,,,3.00E+10,0.1
02-06-2000 18:44,27.5S,18.9W,,,,,,3.00E+10,0.1
29-05-2000 16:46,,,,,,,,6.00E+10,0.19
06-05-2000 11:51,49.9N,18.4E,,,,,,2.80E+10,0.098
03-05-2000 10:40,5.0S,73.0E,,,,,,5.90E+10,0.19
21-04-2000 13:42,,,,,,,,8.60E+10,0.27
04-04-2000 13:38,,,,,,,,2.30E+10,0.082
28-03-2000 15:27,1.0N,98.3E,,,,,,6.30E+10,0.2
19-03-2000 05:11,,,,,,,,4.90E+10,0.16
06-03-2000 08:29,58.0N,175.0E,,,,,,9.60E+11,2.2
18-02-2000 09:25,0.9S,109.2E,,,,,,3.62E+12,7.3
17-02-2000 14:22,14.2N,115.9E,,,,,,2.20E+10,0.079
18-01-2000 16:43,60.3N,134.6W,,,,,,1.05E+12,2.4
18-01-2000 08:33,24.3N,94.9W,,,,,,3.50E+10,0.12
16-12-1999 00:07,26.5S,11.3W,,,,,,6.70E+10,0.21
11-12-1999 17:31,,,,,,,,2.73E+11,0.74
10-12-1999 18:56,,,,,,,,2.80E+10,0.098
03-12-1999 17:24,,,,,,,,4.20E+10,0.14
01-12-1999 19:38,,,,,,,,2.30E+10,0.082
30-11-1999 02:18,,,,,,,,4.50E+10,0.15
15-11-1999 20:01,8.1S,75.4E,,,,,,7.40E+10,0.23
07-11-1999 17:53,2.3S,77.4W,,,,,,8.90E+10,0.27
26-10-1999 17:19,13.7N,70.8W,,,,,,8.60E+10,0.27
08-09-1999 23:55,22.4N,0.2E,,,,,,2.80E+10,0.098
08-09-1999 14:41,32.5N,104.6E,32,,,,,9.00E+10,0.28
16-08-1999 05:18,35.0N,107.2W,,,,,,3.60E+10,0.12
06-08-1999 03:22,,,,,,,,6.80E+10,0.22
03-08-1999 18:25,64.7S,18.8W,,,,,,3.56E+11,0.93
10-07-1999 08:11,37.8S,39.6E,52,,,,,3.26E+11,0.86
07-07-1999 04:14,39.5S,174.4E,,,,,,1.40E+11,0.41
25-06-1999 06:27,50.0N,121.0E,69,,,,,1.24E+11,0.37
23-05-1999 07:02,16.4S,116.3W,,,,,,2.60E+10,0.092
26-04-1999 11:33,22.5S,6.5E,,,,,,9.20E+10,0.28
26-04-1999 09:49,32.8S,159.1E,,,,,,3.30E+10,0.11
31-03-1999 23:54,17.9S,22.6E,,,,,,2.34E+11,0.64
28-03-1999 15:37,0.8N,97.6E,,,,,,3.04E+11,0.81
02-03-1999 22:23,18.9N,50.5E,,,,,,5.90E+10,0.19
18-02-1999 23:15,54.9S,64.6W,,,,,,1.54E+11,0.44
01-02-1999 14:24,80.0N,154.2E,,,,,,2.80E+10,0.098
19-01-1999 02:32,7.9N,85.8E,,,,,,2.40E+10,0.086
14-01-1999 08:06,44.0S,129.7W,32,,,,,5.06E+12,9.8
12-01-1999 19:24,,,,,,,,4.30E+10,0.14
11-01-1999 05:18,,,,,,,,2.40E+10,0.086
02-01-1999 18:25,47.0N,103.0E,65,,,,,3.50E+10,0.12
22-12-1998 09:24,,,,,,,,2.70E+10,0.095
23-11-1998 20:20,82.3N,160.1E,,,,,,2.50E+10,0.089
11-11-1998 16:46,6.5N,156.4E,,,,,,6.56E+11,1.6
03-10-1998 12:58,,,,,,,,3.20E+10,0.11
04-09-1998 09:16,,,,,,,,1.28E+11,0.38
01-09-1998 11:15,34.6N,23.6E,,,,,,2.40E+10,0.086
30-08-1998 00:20,,,,,,,,4.10E+10,0.14
08-08-1998 12:55,,,,,,,,2.30E+10,0.082
28-07-1998 14:16,,,,,,,,6.30E+10,0.2
24-03-1998 09:08,,,,,,,,2.70E+10,0.095
22-03-1998 22:25,1.4N,26.6E,,,,,,1.40E+11,0.41
08-01-1998 16:10,,,,,,,,6.20E+10,0.2
04-01-1998 23:00,35.1S,33.4E,30,17.1,6,-10.6,12,7.40E+10,0.23
28-12-1997 03:58,23.1S,152.4E,,,,,,3.10E+10,0.11
09-12-1997 08:15,62.7N,49.9W,,,,,,2.70E+11,0.73
07-11-1997 07:46,57.3S,167.2E,,,,,,8.00E+11,1.9
09-10-1997 18:47,31.8N,106.0W,37,,,,,1.90E+11,0.53
01-10-1997 14:26,46.7N,108.9E,,,,,,6.20E+10,0.2
30-09-1997 12:31,38.1S,63.9E,,,,,,2.30E+10,0.082
05-09-1997 11:41,31.1S,56.4E,,,,,,1.90E+11,0.53
20-08-1997 17:16,,,,,,,,2.60E+10,0.092
15-08-1997 01:05,,,,,,,,2.20E+10,0.079
30-07-1997 03:01,,,,,,,,5.00E+10,0.16
04-07-1997 12:22,15.8S,175.8W,,,,,,2.70E+10,0.095
22-05-1997 08:30,,,,,,,,4.50E+10,0.15
27-04-1997 22:34,16.7N,87.5E,,,,,,3.25E+11,0.86
19-02-1997 04:31,16.3S,87.7W,,,,,,1.40E+11,0.41
15-02-1997 15:23,35.5N,115.6E,,,,,,1.50E+11,0.43
06-02-1997 18:28,,,,,,,,2.60E+10,0.092
28-01-1997 17:49,,,,,,,,2.40E+10,0.086
23-01-1997 10:03,15.0S,94.2E,,,,,,2.70E+11,0.73
22-01-1997 21:13,32.2N,29.0E,,,,,,4.80E+11,1.2
04-01-1997 06:46,25.7N,5.3W,,,,,,4.30E+10,0.14
03-01-1997 15:08,,,,,,,,3.50E+11,0.92
17-12-1996 04:16,34.1N,37.2W,,,,,,4.10E+10,0.14
10-12-1996 06:09,,,,,,,,2.50E+11,0.68
04-12-1996 17:00,,,,,,,,4.90E+10,0.16
01-12-1996 13:19,,,,,,,,6.20E+10,0.2
22-11-1996 10:06,,,,,,,,6.80E+10,0.22
08-11-1996 16:02,,,,,,,,6.10E+10,0.2
30-10-1996 12:48,2.1S,123.1W,,,,,,2.10E+10,0.076
28-10-1996 04:46,27.4N,79.4W,,,,,,4.30E+10,0.14
23-10-1996 08:28,47.3S,20.6E,,,,,,4.40E+10,0.15
19-10-1996 19:01,29.7N,34.7W,,,,,,1.30E+11,0.38
07-10-1996 17:43,,,,,,,,4.50E+10,0.15
05-10-1996 19:21,49.6S,145.9E,,,,,,2.50E+11,0.68
17-08-1996 15:46,,,,,,,,3.40E+10,0.12
15-08-1996 16:07,,,,,,,,8.40E+10,0.26
09-08-1996 18:14,,,,,,,,3.00E+10,0.1
07-08-1996 03:16,,,,,,,,1.50E+11,0.43
06-08-1996 04:50,,,,,,,,1.30E+11,0.38
05-08-1996 19:27,,,,,,,,2.20E+11,0.61
05-08-1996 15:19,,,,,,,,8.00E+10,0.25
17-07-1996 03:16,31.8N,111.4E,,,,,,5.00E+10,0.16
12-07-1996 14:04,20.7N,93.6W,,,,,,3.20E+10,0.11
25-06-1996 11:22,,,,,,,,2.10E+10,0.076
08-05-1996 01:02,,,,,,,,2.80E+10,0.098
01-05-1996 13:19,,,,,,,,3.50E+10,0.12
31-03-1996 00:53,,,,,,,,2.70E+10,0.095
30-03-1996 04:03,31.1S,84.3W,,,,,,1.20E+11,0.36
29-03-1996 20:30,21.5N,158.1W,,,,,,1.28E+11,0.38
25-03-1996 17:00,,,,,,,,4.40E+10,0.15
13-03-1996 08:31,,,,,,,,2.30E+11,0.63
16-02-1996 07:03,,,,,,,,5.50E+10,0.18
15-02-1996 02:38,76.0N,127.0W,,,,,,5.00E+10,0.16
18-01-1996 17:10,,,,,,,,1.20E+11,0.36
15-01-1996 13:44,59.8S,175.8E,,,,,,2.60E+11,0.71
27-12-1995 12:55,,,,,,,,2.20E+10,0.079
22-12-1995 13:26,70.2S,73.3W,,,,,,4.50E+11,1.1
09-12-1995 19:54,2.9S,79.0W,,,,,,1.20E+11,0.36
25-11-1995 05:29,,,,,,,,2.90E+10,0.1
13-11-1995 03:10,,,,,,,,2.10E+10,0.076
01-10-1995 02:42,,,,,,,,3.50E+10,0.12
09-09-1995 07:38,,,,,,,,5.00E+11,1.3
24-08-1995 21:54,,,,,,,,1.20E+11,0.36
17-08-1995 16:39,,,,,,,,1.60E+11,0.46
06-08-1995 04:38,,,,,,,,5.50E+10,0.18
05-08-1995 17:14,11.6N,104.3W,,,,,,2.00E+11,0.56
11-07-1995 18:38,28.5S,93.3E,,,,,,1.30E+11,0.38
09-07-1995 18:20,0.9S,66.3E,,,,,,2.50E+10,0.089
07-07-1995 17:33,40.2N,76.1W,,,,,,1.40E+11,0.41
09-06-1995 09:28,,,,,,,,2.50E+10,0.089
02-04-1995 12:32,,,,,,,,2.50E+10,0.089
16-02-1995 13:05,16.7N,141.7W,,,,,,6.00E+10,0.19
18-01-1995 10:17,51.5N,115.4E,,,,,,7.00E+10,0.22
10-01-1995 21:08,,,,,,,,2.50E+10,0.089
04-01-1995 04:16,46.4N,12.1E,,,,,,4.10E+10,0.14
02-01-1995 20:41,,,,,,,,3.00E+10,0.1
18-12-1994 12:45,,,,,,,,5.00E+10,0.16
16-12-1994 09:41,42.2S,27.6E,,,,,,5.00E+10,0.16
03-11-1994 20:01,6.5N,89.0E,,,,,,2.35E+12,5
01-11-1994 06:50,1.5S,84.5W,,,,,,1.00E+12,2.3
27-10-1994 04:21,,,,,,,,3.20E+11,0.85
20-10-1994 00:11,45.2S,1.9W,,,,,,8.70E+10,0.27
08-10-1994 03:24,,,,,,,,6.60E+10,0.21
22-09-1994 04:22,,,,,,,,6.70E+10,0.21
15-08-1994 23:16,,,,,,,,1.64E+11,0.47
15-06-1994 00:02,45.0N,73.5W,,,,,,4.10E+10,0.14
03-06-1994 20:48,,,,,,,,5.09E+11,1.3
29-05-1994 09:30,52.8N,2.3E,,,,,,3.84E+11,1
01-02-1994 22:38,2.7N,164.1E,,,,,,1.82E+13,30
29-11-1993 17:48,26.5N,78.3E,,,,,,2.60E+10,0.092
31-10-1993 03:39,51.3N,100.9W,,,,,,4.00E+10,0.13
04-10-1991 09:22,78.7N,6.3E,,,,,,5.50E+11,1.4
01-10-1990 03:51,7.5N,142.8E,,,,,,2.50E+12,5.2
15-04-1988 03:03,4.1S,124.3E,,,,,,7.58E+12,14
